soc6,task_exposure,title,AIOE,lm_aioe,task_z,aioe_z,ensemble_z,task_rank,aioe_rank,rank_gap
47-4061,0.097,Rail-Track Laying and Maintenance Equipment Operators,-1.3991,-1.4968,-1.71,-1.3664,-1.5382,667,632,35
37-3013,0.164,Tree Trimmers and Pruners,-1.727,-1.5808,-1.3924,-1.6914,-1.5419,621,659,-38
53-7051,0.0924,Industrial Truck and Tractor Operators,-1.3987,-1.5754,-1.7318,-1.366,-1.5489,670,631,39
27-2021,0.1719,Athletes and Sports Competitors,-1.8143,-1.2904,-1.3549,-1.7779,-1.5664,612,672,-60
47-2082,0.1114,Tapers,-1.5408,-1.3446,-1.6417,-1.5068,-1.5743,657,644,13
47-3013,0.1034,Helpers--Electricians,-1.5069,-1.4451,-1.6796,-1.4732,-1.5764,665,641,24
47-2131,0.1229,"Insulation Workers, Floor, Ceiling, and Wall",-1.6188,-1.5097,-1.5872,-1.5841,-1.5856,649,652,-3
47-3012,0.0824,Helpers--Carpenters,-1.4253,-1.3702,-1.7792,-1.3924,-1.5858,675,637,38
49-3093,0.1079,Tire Repairers and Changers,-1.5507,-1.423,-1.6583,-1.5167,-1.5875,661,646,15
47-2171,0.1924,Reinforcing Iron and Rebar Workers,-1.971,-1.7812,-1.2578,-1.9331,-1.5954,587,680,-93
47-2081,0.1215,Drywall and Ceiling Tile Installers,-1.648,-1.4961,-1.5938,-1.613,-1.6034,650,655,-5
47-2221,0.1299,Structural Iron and Steel Workers,-1.7801,-1.701,-1.554,-1.7439,-1.649,645,670,-25
47-2142,0.1171,Paperhangers,-1.7275,-1.5658,-1.6147,-1.6919,-1.6533,653,660,-7
37-3011,0.1341,Landscaping and Groundskeeping Workers,-1.8243,-1.6565,-1.5341,-1.7877,-1.6609,643,673,-30
47-5071,0.0671,"Roustabouts, Oil and Gas",-1.519,-1.5003,-1.8517,-1.4852,-1.6684,677,643,34
47-5051,0.1146,"Rock Splitters, Quarry",-1.7635,-1.6143,-1.6265,-1.7275,-1.677,655,667,-12
47-4031,0.1423,Fence Erectors,-1.9021,-1.6753,-1.4952,-1.8648,-1.68,638,676,-38
35-9011,0.1456,Dining Room and Cafeteria Attendants and Bartender Helpers,-1.9271,-1.4327,-1.4796,-1.8896,-1.6846,633,677,-44
47-2161,0.1086,Plasterers and Stucco Masons,-1.7556,-1.5779,-1.655,-1.7197,-1.6873,660,666,-6
47-3015,0.0925,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",-1.6789,-1.462,-1.7313,-1.6436,-1.6875,669,656,13
51-9197,0.0741,Tire Builders,-1.6109,-1.4628,-1.8185,-1.5763,-1.6974,676,651,25
47-2051,0.1059,Cement Masons and Concrete Finishers,-1.7774,-1.6776,-1.6678,-1.7413,-1.7045,663,669,-6
51-6021,0.1334,"Pressers, Textile, Garment, and Related Materials",-1.9501,-1.8539,-1.5374,-1.9124,-1.7249,644,679,-35
47-2053,0.0946,Terrazzo Workers and Finishers,-1.7761,-1.685,-1.7213,-1.7399,-1.7306,668,668,0
47-2043,0.0872,Floor Sanders and Finishers,-1.7487,-1.5744,-1.7564,-1.7129,-1.7346,672,663,9
47-2181,0.0827,Roofers,-1.7529,-1.5534,-1.7777,-1.717,-1.7474,674,664,10
47-3011,0.1058,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",-1.9423,-1.8218,-1.6682,-1.9047,-1.7865,664,678,-14
51-4071,0.0611,Foundry Mold and Coremakers,-1.7403,-1.6417,-1.8801,-1.7046,-1.7923,679,662,17
47-2022,0.0512,Stonemasons,-1.7148,-1.4831,-1.927,-1.6792,-1.8031,681,658,23
47-3016,0.0841,Helpers--Roofers,-1.8982,-1.6679,-1.7711,-1.861,-1.816,673,675,-2
35-9021,0.05,Dishwashers,-1.7386,-1.5612,-1.9327,-1.7028,-1.8178,682,661,21
27-2031,0.2306,Dancers,-2.6698,-1.7931,-1.0767,-2.6255,-1.8511,545,683,-138
51-3023,0.05,Slaughterers and Meat Packers,-1.8347,-1.5429,-1.9327,-1.798,-1.8654,682,674,8
47-3014,0.0523,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",-2.0448,-1.7111,-1.9218,-2.0063,-1.9641,680,681,-1
