soc6,task_exposure,title,AIOE,lm_aioe,task_z,aioe_z,ensemble_z,task_rank,aioe_rank,rank_gap
47-2031,0.2168,Carpenters,-1.3236,-1.2453,-1.1421,-1.2916,-1.2169,564,623,-59
51-7021,0.1902,Furniture Finishers,-1.1977,-1.2381,-1.2682,-1.1669,-1.2175,590,601,-11
51-7041,0.1815,"Sawing Machine Setters, Operators, and Tenders, Wood",-1.165,-1.265,-1.3094,-1.1345,-1.222,602,591,11
45-2092,0.2722,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",-1.6013,-1.4324,-0.8795,-1.5668,-1.2232,510,650,-140
51-6041,0.1425,Shoe and Leather Workers and Repairers,-0.9909,-1.007,-1.4943,-0.962,-1.2281,637,548,89
49-9094,0.1163,Locksmiths and Safe Repairers,-0.8657,-0.9909,-1.6185,-0.838,-1.2282,654,505,149
49-9011,0.2216,Mechanical Door Repairers,-1.3832,-1.2819,-1.1194,-1.3506,-1.235,557,627,-70
45-2041,0.219,"Graders and Sorters, Agricultural Products",-1.371,-1.0324,-1.1317,-1.3386,-1.2351,560,626,-66
47-4091,0.1351,Segmental Pavers,-0.9827,-0.9494,-1.5294,-0.9539,-1.2416,642,546,96
47-2044,0.1851,Tile and Stone Setters,-1.2254,-1.1963,-1.2924,-1.1943,-1.2434,597,608,-11
45-2093,0.1602,"Farmworkers, Farm, Ranch, and Aquacultural Animals",-1.1084,-1.089,-1.4104,-1.0784,-1.2444,624,579,45
51-7011,0.2037,Cabinetmakers and Bench Carpenters,-1.3275,-1.3268,-1.2042,-1.2955,-1.2498,574,624,-50
51-6093,0.2001,Upholsterers,-1.3137,-1.4052,-1.2213,-1.2818,-1.2516,577,621,-44
51-2041,0.1493,Structural Metal Fabricators and Fitters,-1.0763,-1.0776,-1.4621,-1.0466,-1.2543,630,569,61
49-9096,0.1733,Riggers,-1.2215,-1.2775,-1.3483,-1.1905,-1.2694,611,607,4
49-9051,0.1426,Electrical Power-Line Installers and Repairers,-1.0814,-1.119,-1.4938,-1.0516,-1.2727,636,571,65
49-3021,0.1493,Automotive Body and Related Repairers,-1.1806,-1.1991,-1.4621,-1.1499,-1.306,630,596,34
47-5011,0.1958,"Derrick Operators, Oil and Gas",-1.415,-1.3906,-1.2417,-1.3822,-1.3119,582,636,-54
51-4052,0.1105,"Pourers and Casters, Metal",-1.0091,-1.1433,-1.646,-0.98,-1.313,658,552,106
45-2091,0.1367,Agricultural Equipment Operators,-1.1452,-1.24,-1.5218,-1.1148,-1.3183,641,586,55
49-9095,0.1869,Manufactured Building and Mobile Home Installers,-1.4141,-1.4398,-1.2838,-1.3813,-1.3325,595,635,-40
53-7064,0.2039,"Packers and Packagers, Hand",-1.5136,-1.1934,-1.2033,-1.4799,-1.3416,573,642,-69
35-2021,0.1437,Food Preparation Workers,-1.2264,-0.934,-1.4886,-1.1953,-1.342,634,610,24
37-2012,0.1931,Maids and Housekeeping Cleaners,-1.4807,-1.0308,-1.2545,-1.4472,-1.3508,586,640,-54
51-9198,0.1757,Helpers--Production Workers,-1.4113,-1.3554,-1.3369,-1.3785,-1.3577,609,634,-25
49-3043,0.1797,Rail Car Repairers,-1.4481,-1.485,-1.318,-1.415,-1.3665,605,639,-34
49-9098,0.1553,"Helpers--Installation, Maintenance, and Repair Workers",-1.3466,-1.3206,-1.4336,-1.3144,-1.374,626,625,1
47-2071,0.1146,"Paving, Surfacing, and Tamping Equipment Operators",-1.1847,-1.3031,-1.6265,-1.154,-1.3903,655,598,57
47-5081,0.1876,Helpers--Extraction Workers,-1.5432,-1.5723,-1.2805,-1.5092,-1.3948,594,645,-51
47-2151,0.1199,Pipelayers,-1.2256,-1.181,-1.6014,-1.1945,-1.398,651,609,42
47-2121,0.1533,Glaziers,-1.3889,-1.267,-1.4431,-1.3563,-1.3997,628,629,-1
37-2011,0.1601,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",-1.4362,-1.093,-1.4109,-1.4032,-1.407,625,638,-13
49-9044,0.1242,Millwrights,-1.2661,-1.2839,-1.581,-1.2346,-1.4078,648,614,34
51-3022,0.0883,"Meat, Poultry, and Fish Cutters and Trimmers",-1.1056,-1.0259,-1.7512,-1.0756,-1.4134,671,578,93
49-3022,0.1077,Automotive Glass Installers and Repairers,-1.2023,-1.2349,-1.6592,-1.1714,-1.4153,662,602,60
47-2072,0.1104,Pile Driver Operators,-1.22,-1.4549,-1.6464,-1.189,-1.4177,659,605,54
47-2041,0.1796,Carpet Installers,-1.5646,-1.4144,-1.3184,-1.5304,-1.4244,606,647,-41
47-2141,0.1813,"Painters, Construction and Maintenance",-1.588,-1.3807,-1.3104,-1.5536,-1.432,603,649,-46
47-2042,0.1177,"Floor Layers, Except Carpet, Wood, and Hard Tiles",-1.301,-1.0491,-1.6118,-1.2692,-1.4405,652,619,33
45-4021,0.211,Fallers,-1.7954,-1.7914,-1.1696,-1.7591,-1.4644,569,671,-102
47-2021,0.1967,Brickmasons and Blockmasons,-1.7543,-1.6069,-1.2374,-1.7184,-1.4779,581,665,-84
47-4051,0.0971,Highway Maintenance Workers,-1.2791,-1.2816,-1.7095,-1.2475,-1.4785,666,617,49
53-7062,0.1856,"Laborers and Freight, Stock, and Material Movers, Hand",-1.7092,-1.4984,-1.2902,-1.6737,-1.482,596,657,-61
47-2061,0.1496,Construction Laborers,-1.623,-1.405,-1.4606,-1.5883,-1.5245,629,653,-24
49-9045,0.0656,"Refractory Materials Repairers, Except Brickmasons",-1.2375,-1.2088,-1.8588,-1.2063,-1.5325,678,612,66
53-7061,0.1476,Cleaners of Vehicles and Equipment,-1.6299,-1.5353,-1.4701,-1.5951,-1.5326,632,654,-22
