O*NET-SOC Code,Title,hybrid_exposure,original_exposure,delta,hybrid_pctile,original_pctile
17-2051.02,Water/Wastewater Engineers,0.6689,0.7265,-0.0576,0.92,0.897
19-2041.01,Climate Change Policy Analysts,0.6688,0.7512,-0.0824,0.919,0.924
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",0.6681,0.7333,-0.0652,0.918,0.904
43-4031.00,"Court, Municipal, and License Clerks",0.6677,0.751,-0.0833,0.917,0.923
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",0.6676,0.7224,-0.0548,0.915,0.89
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",0.6673,0.7031,-0.0358,0.914,0.858
41-3011.00,Advertising Sales Agents,0.6671,0.7633,-0.0962,0.913,0.944
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",0.6665,0.7078,-0.0413,0.912,0.869
19-1029.01,Bioinformatics Scientists,0.6654,0.7622,-0.0968,0.911,0.941
41-3041.00,Travel Agents,0.6642,0.7588,-0.0946,0.91,0.937
19-3099.01,Transportation Planners,0.6638,0.7181,-0.0543,0.909,0.884
13-1161.01,Search Marketing Strategists,0.6634,0.7049,-0.0415,0.908,0.863
17-3013.00,Mechanical Drafters,0.6633,0.7276,-0.0643,0.907,0.899
15-1251.00,Computer Programmers,0.6631,0.7575,-0.0944,0.906,0.935
15-1299.04,Penetration Testers,0.662,0.7261,-0.0641,0.905,0.896
19-3094.00,Political Scientists,0.6617,0.728,-0.0663,0.904,0.9
11-3031.03,Investment Fund Managers,0.6605,0.7267,-0.0662,0.902,0.898
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",0.6602,0.7238,-0.0636,0.901,0.893
17-2199.08,Robotics Engineers,0.66,0.7448,-0.0848,0.9,0.917
13-1041.08,Customs Brokers,0.6597,0.726,-0.0663,0.899,0.895
19-4061.00,Social Science Research Assistants,0.6593,0.753,-0.0937,0.898,0.927
17-1022.01,Geodetic Surveyors,0.659,0.7148,-0.0558,0.897,0.881
15-1221.00,Computer and Information Research Scientists,0.6589,0.7126,-0.0537,0.896,0.874
15-1252.00,Software Developers,0.6586,0.7013,-0.0427,0.895,0.851
23-1012.00,Judicial Law Clerks,0.6581,0.7459,-0.0878,0.894,0.918
15-1255.01,Video Game Designers,0.6579,0.7389,-0.081,0.893,0.91
17-2199.11,Solar Energy Systems Engineers,0.6578,0.713,-0.0552,0.892,0.876
19-3011.00,Economists,0.6575,0.7124,-0.0549,0.891,0.873
43-6011.00,Executive Secretaries and Executive Administrative Assistants,0.657,0.6961,-0.0391,0.889,0.84
13-1199.05,Sustainability Specialists,0.6569,0.7584,-0.1015,0.888,0.936
19-3011.01,Environmental Economists,0.6568,0.7325,-0.0757,0.887,0.902
17-2031.00,Bioengineers and Biomedical Engineers,0.6566,0.7386,-0.082,0.886,0.909
43-3061.00,Procurement Clerks,0.656,0.7076,-0.0516,0.885,0.868
13-2052.00,Personal Financial Advisors,0.6551,0.699,-0.0439,0.884,0.846
19-2012.00,Physicists,0.6543,0.7198,-0.0655,0.883,0.886
15-1232.00,Computer User Support Specialists,0.654,0.721,-0.067,0.882,0.888
11-9121.01,Clinical Research Coordinators,0.6537,0.7022,-0.0485,0.881,0.854
13-1032.00,"Insurance Appraisers, Auto Damage",0.6535,0.7044,-0.0509,0.88,0.861
15-1299.08,Computer Systems Engineers/Architects,0.6533,0.7224,-0.0691,0.879,0.89
11-9199.02,Compliance Managers,0.6531,0.7137,-0.0606,0.878,0.88
17-2112.01,Human Factors Engineers and Ergonomists,0.653,0.7375,-0.0845,0.876,0.907
19-1013.00,Soil and Plant Scientists,0.6518,0.7338,-0.082,0.875,0.905
15-1241.01,Telecommunications Engineering Specialists,0.6517,0.7063,-0.0546,0.874,0.865
41-9031.00,Sales Engineers,0.6507,0.7248,-0.0741,0.873,0.894
11-3061.00,Purchasing Managers,0.6506,0.7156,-0.065,0.872,0.883
13-1021.00,"Buyers and Purchasing Agents, Farm Products",0.6505,0.6855,-0.035,0.871,0.81
43-3021.00,Billing and Posting Clerks,0.6488,0.734,-0.0852,0.87,0.906
19-2041.03,Industrial Ecologists,0.6487,0.7237,-0.075,0.869,0.892
11-3031.00,Financial Managers,0.6486,0.6863,-0.0377,0.868,0.811
43-4141.00,New Accounts Clerks,0.6484,0.6772,-0.0288,0.867,0.781
17-3031.00,Surveying and Mapping Technicians,0.6483,0.7152,-0.0669,0.866,0.882
13-2061.00,Financial Examiners,0.6473,0.6916,-0.0443,0.865,0.83
11-9121.02,Water Resource Specialists,0.6472,0.7092,-0.062,0.863,0.871
17-2112.03,Manufacturing Engineers,0.6469,0.6931,-0.0462,0.862,0.832
25-9021.00,Farm and Home Management Educators,0.6465,0.6943,-0.0478,0.861,0.835
15-1244.00,Network and Computer Systems Administrators,0.6465,0.6943,-0.0478,0.86,0.835
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,0.6461,0.7044,-0.0583,0.859,0.861
11-2021.00,Marketing Managers,0.6451,0.6899,-0.0448,0.858,0.823
25-1082.00,"Library Science Teachers, Postsecondary",0.6448,0.7029,-0.0581,0.857,0.856
43-9022.00,Word Processors and Typists,0.6445,0.7382,-0.0937,0.856,0.908
19-1029.03,Geneticists,0.6444,0.7063,-0.0619,0.855,0.865
17-2141.02,Automotive Engineers,0.6435,0.7283,-0.0848,0.854,0.901
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.6429,0.7068,-0.0639,0.853,0.867
43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",0.6421,0.7136,-0.0715,0.852,0.879
43-5061.00,"Production, Planning, and Expediting Clerks",0.6417,0.7008,-0.0591,0.85,0.849
17-2011.00,Aerospace Engineers,0.6413,0.7044,-0.0631,0.849,0.861
41-3021.00,Insurance Sales Agents,0.641,0.6968,-0.0558,0.848,0.842
25-1125.00,"History Teachers, Postsecondary",0.6405,0.6914,-0.0509,0.847,0.829
11-1011.03,Chief Sustainability Officers,0.6404,0.7008,-0.0604,0.846,0.849
25-1126.00,"Philosophy and Religion Teachers, Postsecondary",0.6398,0.6957,-0.0559,0.845,0.839
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",0.6398,0.6933,-0.0535,0.844,0.833
41-9021.00,Real Estate Brokers,0.6398,0.6963,-0.0565,0.843,0.841
41-4011.07,Solar Sales Representatives and Assessors,0.6392,0.7,-0.0608,0.842,0.847
19-1011.00,Animal Scientists,0.6389,0.7204,-0.0815,0.841,0.887
11-3111.00,Compensation and Benefits Managers,0.6389,0.6975,-0.0586,0.84,0.845
17-2072.00,"Electronics Engineers, Except Computer",0.6387,0.6886,-0.0499,0.839,0.822
25-1031.00,"Architecture Teachers, Postsecondary",0.6385,0.6908,-0.0523,0.837,0.828
25-1122.00,"Communications Teachers, Postsecondary",0.6385,0.6879,-0.0494,0.836,0.816
17-2199.05,Mechatronics Engineers,0.6383,0.7094,-0.0711,0.835,0.872
25-1063.00,"Economics Teachers, Postsecondary",0.6379,0.6901,-0.0522,0.834,0.825
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",0.6379,0.6876,-0.0497,0.833,0.814
19-3051.00,Urban and Regional Planners,0.6379,0.6879,-0.05,0.832,0.816
25-1112.00,"Law Teachers, Postsecondary",0.6375,0.6884,-0.0509,0.831,0.821
15-1299.06,Digital Forensics Analysts,0.6374,0.6825,-0.0451,0.83,0.803
17-1021.00,Cartographers and Photogrammetrists,0.6372,0.6952,-0.058,0.829,0.837
25-1123.00,"English Language and Literature Teachers, Postsecondary",0.6371,0.6802,-0.0431,0.828,0.794
25-1022.00,"Mathematical Science Teachers, Postsecondary",0.637,0.6848,-0.0478,0.827,0.809
43-4151.00,Order Clerks,0.637,0.6802,-0.0432,0.826,0.794
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",0.6366,0.6882,-0.0516,0.824,0.819
25-1065.00,"Political Science Teachers, Postsecondary",0.6361,0.6865,-0.0504,0.823,0.813
25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",0.6359,0.6828,-0.0469,0.822,0.804
17-2041.00,Chemical Engineers,0.6358,0.6973,-0.0615,0.821,0.844
25-1081.00,"Education Teachers, Postsecondary",0.6358,0.6877,-0.0519,0.82,0.815
13-1041.00,Compliance Officers,0.6358,0.6729,-0.0371,0.819,0.767
