O*NET-SOC Code,Title,hybrid_exposure,original_exposure,delta,hybrid_pctile,original_pctile
25-1052.00,"Chemistry Teachers, Postsecondary",0.6001,0.6396,-0.0395,0.661,0.692
11-1021.00,General and Operations Managers,0.5997,0.6219,-0.0222,0.66,0.648
11-9032.00,"Education Administrators, Kindergarten through Secondary",0.5997,0.6297,-0.03,0.659,0.664
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",0.5996,0.6295,-0.0299,0.658,0.663
13-1121.00,"Meeting, Convention, and Event Planners",0.5988,0.6156,-0.0168,0.657,0.635
19-3091.00,Anthropologists and Archeologists,0.5986,0.6547,-0.0561,0.655,0.724
17-3026.00,Industrial Engineering Technologists and Technicians,0.5984,0.6408,-0.0424,0.654,0.694
11-9131.00,Postmasters and Mail Superintendents,0.5983,0.6169,-0.0186,0.653,0.637
13-1075.00,Labor Relations Specialists,0.5979,0.5941,0.0038,0.652,0.599
17-2199.09,Nanosystems Engineers,0.5978,0.6608,-0.063,0.651,0.739
11-9141.00,"Property, Real Estate, and Community Association Managers",0.5973,0.6175,-0.0202,0.65,0.638
29-1223.00,Psychiatrists,0.5973,0.5902,0.0071,0.649,0.593
27-1025.00,Interior Designers,0.5972,0.6226,-0.0254,0.648,0.651
11-2032.00,Public Relations Managers,0.5971,0.6358,-0.0387,0.647,0.683
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",0.5966,0.5969,-0.0003,0.646,0.603
11-9033.00,"Education Administrators, Postsecondary",0.5965,0.6186,-0.0221,0.645,0.642
25-9044.00,"Teaching Assistants, Postsecondary",0.596,0.5804,0.0156,0.644,0.579
17-2051.00,Civil Engineers,0.595,0.6124,-0.0174,0.642,0.629
23-1023.00,"Judges, Magistrate Judges, and Magistrates",0.5943,0.6022,-0.0079,0.641,0.613
11-9179.01,Fitness and Wellness Coordinators,0.594,0.6161,-0.0221,0.64,0.636
29-1229.02,Hospitalists,0.5935,0.5934,0.0001,0.639,0.598
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",0.5923,0.6279,-0.0356,0.638,0.659
13-1081.00,Logisticians,0.5922,0.6032,-0.011,0.637,0.62
13-1041.06,Coroners,0.5916,0.6398,-0.0482,0.636,0.693
27-3011.00,Broadcast Announcers and Radio Disc Jockeys,0.5909,0.6329,-0.042,0.635,0.672
11-9199.08,Loss Prevention Managers,0.5907,0.6024,-0.0117,0.634,0.614
43-9061.00,"Office Clerks, General",0.5906,0.6207,-0.0301,0.633,0.645
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",0.5902,0.5888,0.0014,0.632,0.59
29-1051.00,Pharmacists,0.59,0.6025,-0.0125,0.631,0.615
25-4012.00,Curators,0.5899,0.6044,-0.0145,0.629,0.622
17-2131.00,Materials Engineers,0.589,0.6036,-0.0146,0.628,0.621
17-2112.02,Validation Engineers,0.5882,0.622,-0.0338,0.627,0.649
19-4099.01,Quality Control Analysts,0.5863,0.6027,-0.0164,0.626,0.618
19-3039.03,Clinical Neuropsychologists,0.5859,0.565,0.0209,0.625,0.559
33-9021.00,Private Detectives and Investigators,0.5839,0.6072,-0.0233,0.624,0.625
25-3021.00,Self-Enrichment Teachers,0.5835,0.6147,-0.0312,0.623,0.634
11-2022.00,Sales Managers,0.5833,0.5958,-0.0125,0.622,0.601
53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",0.5832,0.577,0.0062,0.621,0.575
21-1091.00,Health Education Specialists,0.5823,0.5981,-0.0158,0.62,0.606
11-3051.06,Hydroelectric Production Managers,0.5818,0.6106,-0.0288,0.619,0.627
19-2043.00,Hydrologists,0.5808,0.6342,-0.0534,0.618,0.676
25-2032.00,"Career/Technical Education Teachers, Secondary School",0.5796,0.6008,-0.0212,0.616,0.611
19-4099.03,Remote Sensing Technicians,0.5791,0.6552,-0.0761,0.615,0.725
29-1127.00,Speech-Language Pathologists,0.5789,0.5807,-0.0018,0.614,0.58
47-1011.03,Solar Energy Installation Managers,0.5786,0.576,0.0026,0.613,0.574
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",0.5776,0.6051,-0.0275,0.612,0.623
33-3021.06,Intelligence Analysts,0.5773,0.6184,-0.0411,0.611,0.641
29-1224.00,Radiologists,0.5768,0.5707,0.0061,0.61,0.566
25-4031.00,Library Technicians,0.5762,0.608,-0.0318,0.609,0.626
25-2023.00,"Career/Technical Education Teachers, Middle School",0.5761,0.6004,-0.0243,0.608,0.608
11-9081.00,Lodging Managers,0.5759,0.5832,-0.0073,0.607,0.583
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",0.5758,0.5723,0.0035,0.606,0.569
27-1021.00,Commercial and Industrial Designers,0.5758,0.6129,-0.0371,0.605,0.631
19-1021.00,Biochemists and Biophysicists,0.5753,0.637,-0.0617,0.603,0.684
13-1041.04,Government Property Inspectors and Investigators,0.575,0.5661,0.0089,0.602,0.56
27-2012.04,Talent Directors,0.5749,0.5754,-0.0005,0.601,0.573
21-2011.00,Clergy,0.5748,0.5582,0.0166,0.6,0.547
43-4071.00,File Clerks,0.5746,0.6451,-0.0705,0.599,0.702
29-1141.02,Advanced Practice Psychiatric Nurses,0.5745,0.5326,0.0419,0.598,0.515
43-3041.00,Gambling Cage Workers,0.5744,0.6534,-0.079,0.597,0.722
27-2012.03,Media Programming Directors,0.5743,0.613,-0.0387,0.596,0.632
53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,0.5743,0.5867,-0.0124,0.595,0.588
19-1032.00,Foresters,0.5742,0.6006,-0.0264,0.594,0.609
25-2058.00,"Special Education Teachers, Secondary School",0.5741,0.593,-0.0189,0.593,0.597
29-1011.00,Chiropractors,0.5735,0.5449,0.0286,0.592,0.533
53-4031.00,Railroad Conductors and Yardmasters,0.5731,0.5899,-0.0168,0.59,0.592
11-3013.00,Facilities Managers,0.5728,0.5778,-0.005,0.589,0.576
41-1011.00,First-Line Supervisors of Retail Sales Workers,0.5724,0.6006,-0.0282,0.588,0.609
25-4011.00,Archivists,0.5713,0.6067,-0.0354,0.587,0.624
29-1141.04,Clinical Nurse Specialists,0.5703,0.5593,0.011,0.586,0.552
29-1129.01,Art Therapists,0.5702,0.5602,0.01,0.585,0.554
27-1022.00,Fashion Designers,0.5695,0.5951,-0.0256,0.584,0.6
21-1015.00,Rehabilitation Counselors,0.569,0.5591,0.0099,0.583,0.549
11-3051.02,Geothermal Production Managers,0.5682,0.5902,-0.022,0.582,0.593
27-1014.00,Special Effects Artists and Animators,0.5679,0.6237,-0.0558,0.581,0.652
29-1217.00,Neurologists,0.5677,0.5292,0.0385,0.58,0.508
51-1011.00,First-Line Supervisors of Production and Operating Workers,0.5675,0.5843,-0.0168,0.579,0.584
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",0.5671,0.5423,0.0248,0.577,0.53
29-1215.00,Family Medicine Physicians,0.5667,0.5376,0.0291,0.576,0.523
39-3091.00,Amusement and Recreation Attendants,0.566,0.5704,-0.0044,0.575,0.564
25-2055.00,"Special Education Teachers, Kindergarten",0.566,0.5967,-0.0307,0.574,0.602
19-3033.00,Clinical and Counseling Psychologists,0.5656,0.5593,0.0063,0.573,0.552
25-2057.00,"Special Education Teachers, Middle School",0.5652,0.5871,-0.0219,0.572,0.589
25-4022.00,Librarians and Media Collections Specialists,0.5647,0.5636,0.0011,0.571,0.557
29-2051.00,Dietetic Technicians,0.5646,0.5592,0.0054,0.57,0.55
47-4011.00,Construction and Building Inspectors,0.5645,0.5503,0.0142,0.569,0.537
29-1229.01,Allergists and Immunologists,0.5639,0.528,0.0359,0.568,0.505
41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",0.5622,0.6022,-0.04,0.567,0.613
39-3012.00,Gambling and Sports Book Writers and Runners,0.5622,0.5393,0.0229,0.566,0.525
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",0.5622,0.5855,-0.0233,0.564,0.587
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",0.5607,0.5487,0.012,0.563,0.535
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,0.5606,0.573,-0.0124,0.562,0.571
53-6051.00,Transportation Inspectors,0.5603,0.555,0.0053,0.561,0.545
29-1171.00,Nurse Practitioners,0.5602,0.515,0.0452,0.56,0.491
45-2011.00,Agricultural Inspectors,0.5595,0.5636,-0.0041,0.559,0.557
35-1011.00,Chefs and Head Cooks,0.5593,0.5573,0.002,0.558,0.546
21-1021.00,"Child, Family, and School Social Workers",0.5578,0.5427,0.0151,0.557,0.532
29-1123.00,Physical Therapists,0.5571,0.5532,0.0039,0.556,0.542
43-5041.00,"Meter Readers, Utilities",0.5571,0.6001,-0.043,0.555,0.607
29-1229.06,Sports Medicine Physicians,0.557,0.5328,0.0242,0.554,0.516
43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,0.5568,0.5719,-0.0151,0.553,0.568
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,0.5549,0.5845,-0.0296,0.551,0.585
33-2021.00,Fire Inspectors and Investigators,0.5529,0.5267,0.0262,0.55,0.504
27-2091.00,"Disc Jockeys, Except Radio",0.5527,0.5908,-0.0381,0.549,0.595
25-2056.00,"Special Education Teachers, Elementary School",0.5524,0.5727,-0.0203,0.548,0.57
25-2021.00,"Elementary School Teachers, Except Special Education",0.5523,0.5779,-0.0256,0.547,0.577
41-9012.00,Models,0.5501,0.6238,-0.0737,0.546,0.653
33-3041.00,Parking Enforcement Workers,0.5499,0.541,0.0089,0.545,0.528
33-1012.00,First-Line Supervisors of Police and Detectives,0.5498,0.5516,-0.0018,0.544,0.54
27-2022.00,Coaches and Scouts,0.5496,0.5166,0.033,0.543,0.492
21-1092.00,Probation Officers and Correctional Treatment Specialists,0.5493,0.5312,0.0181,0.542,0.512
39-1013.00,First-Line Supervisors of Gambling Services Workers,0.5489,0.5407,0.0082,0.541,0.527
27-2023.00,"Umpires, Referees, and Other Sports Officials",0.5488,0.5119,0.0369,0.54,0.486
41-2031.00,Retail Salespersons,0.5479,0.6026,-0.0547,0.538,0.616
21-1013.00,Marriage and Family Therapists,0.5472,0.5133,0.0339,0.537,0.489
33-3021.02,Police Identification and Records Officers,0.5465,0.504,0.0425,0.536,0.48
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",0.546,0.603,-0.057,0.535,0.619
19-3092.00,Geographers,0.546,0.6388,-0.0928,0.534,0.69
41-2022.00,Parts Salespersons,0.5445,0.5923,-0.0478,0.533,0.596
29-1214.00,Emergency Medicine Physicians,0.5444,0.4712,0.0732,0.532,0.436
29-1181.00,Audiologists,0.544,0.5376,0.0064,0.531,0.523
21-1022.00,Healthcare Social Workers,0.5437,0.5193,0.0244,0.53,0.495
43-5051.00,Postal Service Clerks,0.542,0.5631,-0.0211,0.529,0.555
19-5012.00,Occupational Health and Safety Technicians,0.542,0.5334,0.0086,0.528,0.517
27-1027.00,Set and Exhibit Designers,0.5412,0.5365,0.0047,0.527,0.521
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,0.5409,0.5004,0.0405,0.525,0.472
43-5031.00,Public Safety Telecommunicators,0.5407,0.585,-0.0443,0.524,0.586
33-3031.00,Fish and Game Wardens,0.5406,0.5631,-0.0225,0.523,0.555
33-9031.00,Gambling Surveillance Officers and Gambling Investigators,0.54,0.5535,-0.0135,0.522,0.543
39-9032.00,Recreation Workers,0.5398,0.5499,-0.0101,0.521,0.536
17-3027.01,Automotive Engineering Technicians,0.5397,0.5673,-0.0276,0.52,0.561
19-2031.00,Chemists,0.5395,0.5356,0.0039,0.519,0.52
29-1071.00,Physician Assistants,0.5394,0.4728,0.0666,0.518,0.439
31-9099.01,Speech-Language Pathology Assistants,0.5394,0.5414,-0.002,0.517,0.529
25-2012.00,"Kindergarten Teachers, Except Special Education",0.539,0.5507,-0.0117,0.516,0.538
33-9099.02,Retail Loss Prevention Specialists,0.5384,0.5292,0.0092,0.515,0.508
25-3031.00,"Substitute Teachers, Short-Term",0.5384,0.4832,0.0552,0.514,0.456
27-2032.00,Choreographers,0.5372,0.5231,0.0141,0.512,0.498
29-1129.02,Music Therapists,0.5369,0.5244,0.0125,0.511,0.499
21-1014.00,Mental Health Counselors,0.5367,0.5047,0.032,0.51,0.481
21-1094.00,Community Health Workers,0.5357,0.5005,0.0352,0.509,0.473
19-1022.00,Microbiologists,0.5355,0.5715,-0.036,0.508,0.567
29-1125.00,Recreational Therapists,0.5346,0.5017,0.0329,0.507,0.476
19-4044.00,Hydrologic Technicians,0.5346,0.5812,-0.0466,0.506,0.581
37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,0.5337,0.5263,0.0074,0.505,0.502
21-1023.00,Mental Health and Substance Abuse Social Workers,0.5336,0.4912,0.0424,0.504,0.466
53-2012.00,Commercial Pilots,0.5334,0.5198,0.0136,0.503,0.496
25-2051.00,"Special Education Teachers, Preschool",0.5331,0.5452,-0.0121,0.502,0.534
29-1161.00,Nurse Midwives,0.5318,0.4783,0.0535,0.501,0.446
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",0.5309,0.5171,0.0138,0.499,0.493
29-2052.00,Pharmacy Technicians,0.5299,0.5678,-0.0379,0.498,0.562
29-1299.02,Orthoptists,0.5299,0.4748,0.0551,0.497,0.442
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",0.5293,0.5307,-0.0014,0.496,0.511
17-3025.00,Environmental Engineering Technologists and Technicians,0.5292,0.5703,-0.0411,0.495,0.563
29-1241.00,"Ophthalmologists, Except Pediatric",0.5284,0.4653,0.0631,0.494,0.431
29-1218.00,Obstetricians and Gynecologists,0.5277,0.4609,0.0668,0.493,0.425
39-9031.00,Exercise Trainers and Group Fitness Instructors,0.5267,0.4862,0.0405,0.492,0.457
53-2022.00,Airfield Operations Specialists,0.5264,0.4887,0.0377,0.491,0.463
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.525,0.4912,0.0338,0.49,0.466
39-7011.00,Tour Guides and Escorts,0.5249,0.5013,0.0236,0.489,0.475
29-1213.00,Dermatologists,0.5237,0.4503,0.0734,0.488,0.413
27-2041.00,Music Directors and Composers,0.5233,0.4894,0.0339,0.486,0.464
53-6051.01,Aviation Inspectors,0.523,0.4909,0.0321,0.485,0.465
29-1216.00,General Internal Medicine Physicians,0.523,0.4476,0.0754,0.484,0.41
53-2021.00,Air Traffic Controllers,0.5226,0.523,-0.0004,0.483,0.497
29-1122.00,Occupational Therapists,0.5225,0.5264,-0.0039,0.482,0.503
29-1141.01,Acute Care Nurses,0.5212,0.4881,0.0331,0.481,0.46
29-1141.00,Registered Nurses,0.52,0.4728,0.0472,0.48,0.439
33-3021.00,Detectives and Criminal Investigators,0.5184,0.5287,-0.0103,0.479,0.506
11-3051.04,Biomass Power Plant Managers,0.5182,0.5255,-0.0073,0.478,0.501
53-5021.00,"Captains, Mates, and Pilots of Water Vessels",0.5171,0.5032,0.0139,0.477,0.479
33-3051.04,Customs and Border Protection Officers,0.5168,0.5529,-0.0361,0.476,0.541
29-1243.00,Pediatric Surgeons,0.5153,0.4565,0.0588,0.475,0.416
31-9095.00,Pharmacy Aides,0.5142,0.5426,-0.0284,0.473,0.531
29-1299.01,Naturopathic Physicians,0.5141,0.4662,0.0479,0.472,0.433
21-1093.00,Social and Human Service Assistants,0.5137,0.4752,0.0385,0.471,0.443
29-1242.00,"Orthopedic Surgeons, Except Pediatric",0.5127,0.4606,0.0521,0.47,0.424
11-3051.03,Biofuels Production Managers,0.5126,0.5068,0.0058,0.469,0.482
53-2031.00,Flight Attendants,0.5113,0.4558,0.0555,0.468,0.415
39-3011.00,Gambling Dealers,0.5112,0.4314,0.0798,0.467,0.395
43-5071.00,"Shipping, Receiving, and Inventory Clerks",0.5106,0.5591,-0.0485,0.466,0.549
43-4081.00,"Hotel, Motel, and Resort Desk Clerks",0.5105,0.5177,-0.0072,0.465,0.494
29-1221.00,"Pediatricians, General",0.5105,0.4449,0.0656,0.464,0.407
53-6061.00,Passenger Attendants,0.51,0.4549,0.0551,0.463,0.414
43-2011.00,"Switchboard Operators, Including Answering Service",0.51,0.554,-0.044,0.462,0.544
43-5011.00,Cargo and Freight Agents,0.5097,0.5337,-0.024,0.46,0.518
41-9011.00,Demonstrators and Product Promoters,0.5097,0.5743,-0.0646,0.459,0.572
33-1091.00,First-Line Supervisors of Security Workers,0.5093,0.5392,-0.0299,0.458,0.524
29-1229.04,Physical Medicine and Rehabilitation Physicians,0.5087,0.4287,0.08,0.457,0.392
53-4011.00,Locomotive Engineers,0.5081,0.4642,0.0439,0.456,0.429
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",0.5076,0.5293,-0.0217,0.455,0.509
29-1128.00,Exercise Physiologists,0.5074,0.4489,0.0585,0.454,0.412
27-4014.00,Sound Engineering Technicians,0.5071,0.5971,-0.09,0.453,0.605
29-1212.00,Cardiologists,0.5057,0.442,0.0637,0.452,0.404
43-5052.00,Postal Service Mail Carriers,0.5052,0.4789,0.0263,0.451,0.447
29-1211.00,Anesthesiologists,0.5048,0.4171,0.0877,0.45,0.379
17-3029.01,Non-Destructive Testing Specialists,0.5033,0.4585,0.0448,0.449,0.42
19-4013.00,Food Science Technicians,0.5033,0.5026,0.0007,0.447,0.478
39-7012.00,Travel Guides,0.5003,0.4618,0.0385,0.446,0.428
13-1074.00,Farm Labor Contractors,0.4994,0.42,0.0794,0.445,0.381
29-1041.00,Optometrists,0.4989,0.3918,0.1071,0.444,0.351
25-2011.00,"Preschool Teachers, Except Special Education",0.4987,0.4938,0.0049,0.443,0.47
33-3052.00,Transit and Railroad Police,0.4985,0.5126,-0.0141,0.442,0.488
43-2021.00,Telephone Operators,0.4968,0.5325,-0.0357,0.441,0.514
29-1131.00,Veterinarians,0.4965,0.4487,0.0478,0.44,0.411
27-4011.00,Audio and Video Technicians,0.4953,0.5341,-0.0388,0.439,0.519
25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",0.4932,0.4731,0.0201,0.438,0.441
33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,0.4923,0.4613,0.031,0.437,0.427
29-9099.01,Midwives,0.4922,0.423,0.0692,0.436,0.386
53-3031.00,Driver/Sales Workers,0.4921,0.5108,-0.0187,0.434,0.485
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",0.4909,0.4882,0.0027,0.433,0.462
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",0.4909,0.4881,0.0028,0.432,0.46
43-4121.00,"Library Assistants, Clerical",0.4894,0.4813,0.0081,0.431,0.454
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",0.4889,0.4866,0.0023,0.43,0.458
19-4031.00,Chemical Technicians,0.4866,0.4952,-0.0086,0.429,0.471
33-9093.00,Transportation Security Screeners,0.4853,0.4725,0.0128,0.428,0.438
29-2011.02,Cytotechnologists,0.4851,0.4336,0.0515,0.427,0.397
19-4071.00,Forest and Conservation Technicians,0.4827,0.51,-0.0273,0.426,0.484
29-1141.03,Critical Care Nurses,0.4823,0.4309,0.0514,0.425,0.394
33-2022.00,Forest Fire Inspectors and Prevention Specialists,0.4806,0.4572,0.0234,0.424,0.418
27-2012.05,Media Technical Directors/Managers,0.4796,0.4723,0.0073,0.423,0.437
19-5011.00,Occupational Health and Safety Specialists,0.4779,0.4571,0.0208,0.421,0.417
45-4023.00,Log Graders and Scalers,0.4769,0.4252,0.0517,0.42,0.389
53-4041.00,Subway and Streetcar Operators,0.4765,0.4811,-0.0046,0.419,0.453
33-9011.00,Animal Control Workers,0.4764,0.4173,0.0591,0.418,0.38
19-4042.00,"Environmental Science and Protection Technicians, Including Health",0.4752,0.502,-0.0268,0.417,0.477
53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",0.475,0.4423,0.0327,0.416,0.405
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",0.4746,0.3944,0.0802,0.415,0.355
17-3028.00,Calibration Technologists and Technicians,0.4741,0.4917,-0.0176,0.414,0.468
39-3092.00,Costume Attendants,0.473,0.4809,-0.0079,0.413,0.45
19-4021.00,Biological Technicians,0.4726,0.5138,-0.0412,0.412,0.49
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,0.4724,0.443,0.0294,0.411,0.406
29-2011.00,Medical and Clinical Laboratory Technologists,0.4723,0.4772,-0.0049,0.41,0.445
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,0.4722,0.4924,-0.0202,0.408,0.469
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,0.4721,0.4662,0.0059,0.407,0.433
29-9091.00,Athletic Trainers,0.471,0.4412,0.0298,0.406,0.403
51-9161.00,Computer Numerically Controlled Tool Operators,0.4698,0.5097,-0.0399,0.405,0.483
29-1081.00,Podiatrists,0.4684,0.3805,0.0879,0.404,0.338
29-1023.00,Orthodontists,0.4682,0.4587,0.0095,0.403,0.421
25-9043.00,"Teaching Assistants, Special Education",0.4678,0.4266,0.0412,0.402,0.39
39-9041.00,Residential Advisors,0.4678,0.4462,0.0216,0.401,0.408
33-9094.00,School Bus Monitors,0.4674,0.3972,0.0702,0.4,0.36
29-2036.00,Medical Dosimetrists,0.465,0.4807,-0.0157,0.399,0.449
33-9091.00,Crossing Guards and Flaggers,0.464,0.481,-0.017,0.398,0.452
29-2011.01,Cytogenetic Technologists,0.4608,0.4821,-0.0213,0.397,0.455
31-2011.00,Occupational Therapy Assistants,0.4591,0.4083,0.0508,0.395,0.372
29-2043.00,Paramedics,0.4585,0.3333,0.1252,0.394,0.288
27-4012.00,Broadcast Technicians,0.4581,0.5304,-0.0723,0.393,0.51
29-1291.00,Acupuncturists,0.4581,0.348,0.1101,0.392,0.308
51-8011.00,Nuclear Power Reactor Operators,0.4573,0.4692,-0.0119,0.391,0.434
33-1011.00,First-Line Supervisors of Correctional Officers,0.4557,0.4292,0.0265,0.39,0.393
53-3033.00,Light Truck Drivers,0.4541,0.461,-0.0069,0.389,0.426
29-2031.00,Cardiovascular Technologists and Technicians,0.4535,0.4002,0.0533,0.388,0.364
29-1229.03,Urologists,0.4534,0.3615,0.0919,0.387,0.315
39-6012.00,Concierges,0.4507,0.3959,0.0548,0.386,0.358
17-3026.01,Nanotechnology Engineering Technologists and Technicians,0.4477,0.4809,-0.0332,0.385,0.45
31-2021.00,Physical Therapist Assistants,0.4476,0.3693,0.0783,0.384,0.321
51-9071.06,Gem and Diamond Workers,0.4465,0.4046,0.0419,0.382,0.369
31-9092.00,Medical Assistants,0.4463,0.423,0.0233,0.381,0.386
29-2081.00,"Opticians, Dispensing",0.4461,0.4269,0.0192,0.38,0.391
51-8012.00,Power Distributors and Dispatchers,0.4449,0.4771,-0.0322,0.379,0.444
53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",0.4445,0.3724,0.0721,0.378,0.324
19-4051.00,Nuclear Technicians,0.4444,0.3944,0.05,0.377,0.355
53-3053.00,Shuttle Drivers and Chauffeurs,0.4434,0.4221,0.0213,0.376,0.384
29-1124.00,Radiation Therapists,0.4399,0.3728,0.0671,0.375,0.327
27-2011.00,Actors,0.4395,0.3052,0.1343,0.374,0.259
29-2035.00,Magnetic Resonance Imaging Technologists,0.4377,0.387,0.0507,0.373,0.345
29-2099.01,Neurodiagnostic Technologists,0.4374,0.3767,0.0607,0.372,0.332
31-9011.00,Massage Therapists,0.4374,0.3465,0.0909,0.371,0.306
29-1292.00,Dental Hygienists,0.4367,0.3809,0.0558,0.369,0.339
33-3051.00,Police and Sheriff's Patrol Officers,0.4361,0.421,0.0151,0.368,0.382
17-3024.01,Robotics Technicians,0.4352,0.4589,-0.0237,0.367,0.423
29-2061.00,Licensed Practical and Licensed Vocational Nurses,0.4348,0.3852,0.0496,0.366,0.342
29-1126.00,Respiratory Therapists,0.433,0.3624,0.0706,0.365,0.316
53-3052.00,"Bus Drivers, Transit and Intercity",0.4313,0.3976,0.0337,0.364,0.361
29-2032.00,Diagnostic Medical Sonographers,0.4305,0.4114,0.0191,0.363,0.375
29-1151.00,Nurse Anesthetists,0.4291,0.3517,0.0774,0.362,0.311
31-2012.00,Occupational Therapy Aides,0.4281,0.3796,0.0485,0.361,0.336
29-2034.00,Radiologic Technologists and Technicians,0.4275,0.4347,-0.0072,0.36,0.398
33-3012.00,Correctional Officers and Jailers,0.4264,0.3996,0.0268,0.359,0.363
49-9062.00,Medical Equipment Repairers,0.4262,0.4348,-0.0086,0.358,0.399
29-2042.00,Emergency Medical Technicians,0.426,0.3382,0.0878,0.356,0.297
53-3054.00,Taxi Drivers,0.4239,0.3969,0.027,0.355,0.359
39-9011.01,Nannies,0.4223,0.3464,0.0759,0.354,0.304
51-5111.00,Prepress Technicians and Workers,0.4214,0.4087,0.0127,0.353,0.373
27-4031.00,"Camera Operators, Television, Video, and Film",0.421,0.4645,-0.0435,0.352,0.43
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",0.4208,0.4226,-0.0018,0.351,0.385
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",0.4204,0.4583,-0.0379,0.35,0.419
29-2053.00,Psychiatric Technicians,0.4166,0.2995,0.1171,0.349,0.252
43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",0.4149,0.3271,0.0878,0.348,0.278
31-1133.00,Psychiatric Aides,0.4142,0.3275,0.0867,0.347,0.28
19-4051.02,Nuclear Monitoring Technicians,0.4058,0.3827,0.0231,0.346,0.34
53-6011.00,Bridge and Lock Tenders,0.4043,0.4387,-0.0344,0.345,0.401
29-1021.00,"Dentists, General",0.4043,0.2932,0.1111,0.343,0.243
31-1122.00,Personal Care Aides,0.4037,0.3383,0.0654,0.342,0.298
49-9041.00,Industrial Machinery Mechanics,0.4034,0.4031,0.0003,0.341,0.368
29-2091.00,Orthotists and Prosthetists,0.4023,0.4232,-0.0209,0.34,0.388
31-1121.00,Home Health Aides,0.4013,0.2832,0.1181,0.339,0.228
53-3051.00,"Bus Drivers, School",0.4008,0.3943,0.0065,0.338,0.353
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",0.4001,0.4021,-0.002,0.337,0.367
51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",0.3997,0.3717,0.028,0.336,0.322
51-9151.00,Photographic Process Workers and Processing Machine Operators,0.399,0.4156,-0.0166,0.335,0.378
47-2231.00,Solar Photovoltaic Installers,0.3989,0.4077,-0.0088,0.334,0.371
29-2012.00,Medical and Clinical Laboratory Technicians,0.3984,0.3912,0.0072,0.333,0.35
29-1022.00,Oral and Maxillofacial Surgeons,0.3982,0.1937,0.2045,0.332,0.12
43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",0.3969,0.3312,0.0657,0.33,0.284
25-4013.00,Museum Technicians and Conservators,0.3969,0.41,-0.0131,0.329,0.374
53-5031.00,Ship Engineers,0.3964,0.3885,0.0079,0.328,0.347
51-8092.00,Gas Plant Operators,0.3958,0.4016,-0.0058,0.327,0.366
17-3029.08,Photonics Technicians,0.3955,0.4376,-0.0421,0.326,0.4
49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",0.3944,0.4006,-0.0062,0.325,0.365
29-2099.05,Ophthalmic Medical Technologists,0.3918,0.2912,0.1006,0.324,0.238
27-2042.00,Musicians and Singers,0.39,0.2507,0.1393,0.323,0.189
39-2021.00,Animal Caretakers,0.3897,0.2948,0.0949,0.322,0.247
39-9011.00,Childcare Workers,0.3895,0.3547,0.0348,0.321,0.312
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,0.3889,0.3984,-0.0095,0.32,0.362
