soc6,title,original,AIOE,narrow,broad
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",0.4882,-0.4632,0.4732,0.4732
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.4912,-0.4792,0.4898,0.4865
25-4013,Museum Technicians and Conservators,0.41,-0.0912,0.3681,0.3681
41-9012,Models,0.6238,-1.122,0.6155,0.6155
39-3092,Costume Attendants,0.4809,-0.4534,0.4682,0.4682
39-4031,"Morticians, Undertakers, and Funeral Arrangers",0.4226,-0.1904,0.3861,0.3861
29-2031,Cardiovascular Technologists and Technicians,0.4002,-0.091,0.3842,0.36
27-4021,Photographers,0.414,-0.1681,0.3804,0.3461
29-1071,Physician Assistants,0.3562,0.1059,0.3498,0.3498
49-9062,Medical Equipment Repairers,0.4348,-0.2769,0.3982,0.3982
53-6061,Passenger Attendants,0.4549,-0.3752,0.4549,0.4412
29-2099,Patient Representatives,0.4341,-0.2839,0.4283,0.4143
29-9091,Athletic Trainers,0.4412,-0.3311,0.4341,0.4269
29-2035,Magnetic Resonance Imaging Technologists,0.387,-0.0728,0.387,0.3554
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",0.4866,-0.5523,0.4696,0.4696
27-4031,"Camera Operators, Television, Video, and Film",0.4645,-0.447,0.4438,0.3388
33-9093,Transportation Security Screeners,0.4725,-0.5069,0.4181,0.4181
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",0.3717,-0.0293,0.35,0.35
33-9091,Crossing Guards and Flaggers,0.481,-0.57,0.4109,0.4109
53-4011,Locomotive Engineers,0.4642,-0.4977,0.4642,0.4232
29-2033,Nuclear Medicine Technologists,0.3406,0.0855,0.328,0.286
53-3031,Driver/Sales Workers,0.5108,-0.7293,0.4866,0.4635
29-2032,Diagnostic Medical Sonographers,0.4114,-0.2641,0.359,0.3152
53-4041,Subway and Streetcar Operators,0.4811,-0.6155,0.4811,0.4324
33-3051,Customs and Border Protection Officers,0.487,-0.6681,0.4404,0.4404
31-2011,Occupational Therapy Assistants,0.4083,-0.3154,0.3985,0.3985
33-3052,Transit and Railroad Police,0.5126,-0.8206,0.4644,0.4644
51-9151,Photographic Process Workers and Processing Machine Operators,0.4156,-0.3616,0.4,0.3661
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",0.4583,-0.569,0.4397,0.4244
51-8092,Gas Plant Operators,0.4016,-0.2982,0.3899,0.3304
27-2011,Actors,0.3052,0.1591,0.277,0.277
33-1021,First-Line Supervisors of Firefighting and Prevention Workers,0.4613,-0.593,0.442,0.4378
43-9071,"Office Machine Operators, Except Computer",0.4399,-0.5171,0.383,0.281
13-1074,Farm Labor Contractors,0.42,-0.4354,0.42,0.42
49-2011,"Computer, Automated Teller, and Office Machine Repairers",0.4006,-0.3458,0.3762,0.369
27-1023,Floral Designers,0.3847,-0.2718,0.3311,0.3311
29-1124,Radiation Therapists,0.3728,-0.2189,0.3378,0.3235
45-4023,Log Graders and Scalers,0.4252,-0.4768,0.4232,0.4141
29-1126,Respiratory Therapists,0.3624,-0.1881,0.3414,0.3414
29-2034,Radiologic Technologists and Technicians,0.4347,-0.5559,0.4187,0.3746
33-1011,First-Line Supervisors of Correctional Officers,0.4292,-0.5584,0.3964,0.3964
53-6011,Bridge and Lock Tenders,0.4387,-0.6322,0.4195,0.3721
49-9061,Camera and Photographic Equipment Repairers,0.2946,0.0546,0.2482,0.2482
51-9071,Gem and Diamond Workers,0.3358,-0.156,0.313,0.313
53-2031,Flight Attendants,0.4558,-0.7621,0.4508,0.4378
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",0.3944,-0.4718,0.3944,0.3881
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",0.3727,-0.37,0.3542,0.3267
33-9011,Animal Control Workers,0.4173,-0.5946,0.4074,0.4074
51-8091,Chemical Plant and System Operators,0.3722,-0.3831,0.3504,0.3113
39-5091,"Makeup Artists, Theatrical and Performance",0.3881,-0.4596,0.3667,0.3667
33-9032,Security Guards,0.373,-0.3908,0.2883,0.2419
29-2057,Ophthalmic Medical Technicians,0.2745,0.0787,0.2719,0.2314
39-3021,Motion Picture Projectionists,0.3638,-0.3787,0.3556,0.2123
49-2091,Avionics Technicians,0.3158,-0.1729,0.2858,0.2858
53-5031,Ship Engineers,0.3885,-0.5265,0.3818,0.3605
29-2061,Licensed Practical and Licensed Vocational Nurses,0.3852,-0.5137,0.366,0.366
51-6092,Fabric and Apparel Patternmakers,0.289,-0.0831,0.2414,0.2414
39-9011,Childcare Workers,0.3506,-0.3835,0.3382,0.3326
49-2097,Audiovisual Equipment Installers and Repairers,0.3857,-0.5713,0.3334,0.3181
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",0.3019,-0.1861,0.2813,0.2813
51-8021,Stationary Engineers and Boiler Operators,0.3676,-0.5032,0.3419,0.3221
31-2021,Physical Therapist Assistants,0.3693,-0.5309,0.3623,0.3623
43-5052,Postal Service Mail Carriers,0.4789,-1.0647,0.4674,0.4633
29-1021,"Dentists, General",0.2932,-0.1813,0.2777,0.2535
29-2053,Psychiatric Technicians,0.2995,-0.2203,0.2966,0.2689
39-5094,Skincare Specialists,0.3063,-0.2628,0.282,0.282
51-3092,Food Batchmakers,0.3294,-0.3791,0.2968,0.2489
27-2042,Musicians and Singers,0.2507,-0.004,0.2507,0.2507
37-2021,Pest Control Workers,0.3954,-0.7255,0.363,0.351
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",0.3149,-0.3454,0.298,0.298
51-8013,Power Plant Operators,0.3108,-0.3483,0.291,0.2269
49-9064,Watch and Clock Repairers,0.2777,-0.2124,0.2434,0.2434
51-9011,Chemical Equipment Operators and Tenders,0.3378,-0.5115,0.3037,0.2768
33-3011,Bailiffs,0.3357,-0.5103,0.2196,0.2196
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",0.3801,-0.7234,0.3598,0.3488
53-7071,Gas Compressor and Gas Pumping Station Operators,0.3724,-0.691,0.3517,0.2551
53-3033,Light Truck Drivers,0.461,-1.1205,0.4562,0.4296
51-5112,Printing Press Operators,0.3744,-0.7094,0.3209,0.3062
31-9091,Dental Assistants,0.3356,-0.5269,0.3077,0.2965
51-3011,Bakers,0.3053,-0.3853,0.2542,0.2318
29-2012,Medical and Clinical Laboratory Technicians,0.2506,-0.1273,0.1944,0.1495
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",0.4021,-0.853,0.3843,0.3808
31-9093,Medical Equipment Preparers,0.3761,-0.7309,0.3494,0.3259
49-9099,Geothermal Technicians,0.3445,-0.5901,0.304,0.304
31-2012,Occupational Therapy Aides,0.3796,-0.7734,0.3071,0.3071
27-1012,Craft Artists,0.4117,-0.9295,0.3919,0.3919
51-2092,Team Assemblers,0.3892,-0.8305,0.3713,0.3691
35-2012,"Cooks, Institution and Cafeteria",0.3479,-0.6361,0.3102,0.3102
33-3012,Correctional Officers and Jailers,0.3996,-0.8875,0.3672,0.3624
53-7072,"Pump Operators, Except Wellhead Pumpers",0.389,-0.8423,0.3736,0.3462
49-2098,Security and Fire Alarm Systems Installers,0.3577,-0.6926,0.3287,0.3287
47-2231,Solar Photovoltaic Installers,0.4077,-0.9442,0.3916,0.3916
35-3011,Bartenders,0.3381,-0.616,0.2675,0.2675
51-8031,Water and Wastewater Treatment Plant and System Operators,0.2963,-0.445,0.2607,0.2205
51-9141,Semiconductor Processing Technicians,0.3362,-0.6372,0.3051,0.3051
39-5092,Manicurists and Pedicurists,0.1958,0.0335,0.1597,0.1597
51-8099,Biofuels Processing Technicians,0.3404,-0.6702,0.292,0.2563
51-9081,Dental Laboratory Technicians,0.1971,0.0013,0.1532,0.1532
27-2032,Choreographers,0.5231,-1.5758,0.5231,0.5231
31-9097,Phlebotomists,0.2486,-0.2778,0.2032,0.2032
51-4061,"Model Makers, Metal and Plastic",0.3448,-0.7422,0.3053,0.2977
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",0.3278,-0.6825,0.2871,0.2871
35-2013,"Cooks, Private Household",0.3486,-0.7867,0.2972,0.2972
47-4099,Weatherization Installers and Technicians,0.3663,-0.8728,0.3384,0.3384
27-1026,Merchandise Displayers and Window Trimmers,0.3919,-1.0014,0.3415,0.3266
29-2056,Veterinary Technologists and Technicians,0.2569,-0.3623,0.2424,0.2373
35-3031,Waiters and Waitresses,0.3791,-0.9481,0.3505,0.3505
39-5011,Barbers,0.3332,-0.7295,0.3062,0.3062
43-5021,Couriers and Messengers,0.3773,-0.9591,0.3622,0.3231
51-2022,Electrical and Electronic Equipment Assemblers,0.3033,-0.6249,0.2686,0.2686
51-4041,Machinists,0.348,-0.8676,0.3221,0.3024
49-9041,Industrial Machinery Mechanics,0.4031,-1.1332,0.3859,0.3859
29-1024,Prosthodontists,0.1979,-0.1561,0.1707,0.1707
51-2021,"Coil Winders, Tapers, and Finishers",0.3363,-0.829,0.2753,0.2611
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",0.3195,-0.7589,0.2869,0.2774
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",0.3611,-0.9582,0.331,0.331
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",0.3312,-0.8185,0.3179,0.3179
47-2111,Electricians,0.3229,-0.7797,0.2977,0.2977
39-4021,Funeral Attendants,0.2735,-0.5445,0.2248,0.2248
51-4111,Tool and Die Makers,0.2699,-0.5318,0.2478,0.2415
53-3032,Heavy and Tractor-Trailer Truck Drivers,0.3984,-1.1491,0.3902,0.3413
39-5093,Shampooers,0.3449,-0.9054,0.3094,0.3094
51-3093,Food Cooking Machine Operators and Tenders,0.2663,-0.556,0.1946,0.149
49-3011,Aircraft Mechanics and Service Technicians,0.2833,-0.6551,0.2637,0.2582
29-1022,Oral and Maxillofacial Surgeons,0.1937,-0.239,0.1937,0.1937
53-6021,Parking Attendants,0.3165,-0.8354,0.3046,0.2945
35-3041,"Food Servers, Nonrestaurant",0.2891,-0.727,0.2622,0.2622
51-4062,"Patternmakers, Metal and Plastic",0.2624,-0.6131,0.245,0.2397
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.2821,-0.7427,0.24,0.218
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,0.2881,-0.7736,0.2735,0.2735
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,0.3063,-0.8609,0.2801,0.2801
47-5013,"Service Unit Operators, Oil and Gas",0.3253,-0.9719,0.3195,0.2855
53-7011,Conveyor Operators and Tenders,0.2796,-0.7554,0.2456,0.2349
29-2055,Surgical Technologists,0.2182,-0.483,0.184,0.184
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",0.2947,-0.8491,0.2524,0.2509
49-9031,Home Appliance Repairers,0.3178,-0.9704,0.2923,0.2877
31-2022,Physical Therapist Aides,0.2977,-0.8823,0.2805,0.2805
47-4021,Elevator and Escalator Installers and Repairers,0.2914,-0.8605,0.2689,0.2689
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",0.2849,-0.8304,0.2364,0.2364
39-2021,Animal Caretakers,0.2948,-0.889,0.2847,0.2847
39-2011,Animal Trainers,0.2986,-0.9168,0.276,0.276
53-5022,Motorboat Operators,0.2899,-0.8871,0.2834,0.2406
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",0.3305,-1.0892,0.295,0.2549
51-7032,"Patternmakers, Wood",0.3233,-1.0579,0.3005,0.3005
53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",0.2751,-0.8321,0.2685,0.2364
51-6052,"Tailors, Dressmakers, and Custom Sewers",0.1906,-0.4305,0.1599,0.1523
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",0.2791,-0.8703,0.1906,0.1858
51-9194,Etchers and Engravers,0.2304,-0.6395,0.1952,0.1905
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",0.2282,-0.6335,0.1825,0.1816
51-4192,"Layout Workers, Metal and Plastic",0.2383,-0.7221,0.1796,0.1754
51-2023,Electromechanical Equipment Assemblers,0.1882,-0.4977,0.1597,0.1504
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",0.2913,-1.0024,0.2318,0.2318
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",0.2937,-1.0229,0.2718,0.2516
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",0.3271,-1.185,0.311,0.3045
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",0.2439,-0.7916,0.2132,0.2132
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",0.2568,-0.8597,0.22,0.1654
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",0.2441,-0.8047,0.2147,0.1685
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",0.2452,-0.8197,0.212,0.1757
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",0.3022,-1.0925,0.2622,0.2438
35-2014,"Cooks, Restaurant",0.2288,-0.7418,0.1856,0.1856
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",0.2887,-1.0435,0.2653,0.2484
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",0.2287,-0.7607,0.1685,0.1685
49-9043,"Maintenance Workers, Machinery",0.2726,-0.9735,0.2381,0.2353
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",0.2612,-0.9379,0.1942,0.1838
51-9083,Ophthalmic Laboratory Technicians,0.1892,-0.5967,0.1497,0.1466
47-2073,Operating Engineers and Other Construction Equipment Operators,0.2485,-0.8815,0.2209,0.187
51-7031,"Model Makers, Wood",0.2148,-0.7279,0.1824,0.1824
51-9082,Medical Appliance Technicians,0.1654,-0.495,0.1236,0.1236
49-9097,Signal and Track Switch Repairers,0.2412,-0.8582,0.216,0.2011
49-2092,"Electric Motor, Power Tool, and Related Repairers",0.231,-0.8106,0.1935,0.179
53-7021,Crane and Tower Operators,0.2746,-1.0306,0.2402,0.2338
47-5012,"Rotary Drill Operators, Oil and Gas",0.2188,-0.7737,0.1704,0.1448
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,0.2431,-0.8941,0.2071,0.2071
51-9193,Cooling and Freezing Equipment Operators and Tenders,0.2555,-0.9605,0.1636,0.1561
35-2015,"Cooks, Short Order",0.1775,-0.5934,0.0665,0.0665
51-5113,Print Binding and Finishing Workers,0.2419,-0.9062,0.2139,0.1817
51-3021,Butchers and Meat Cutters,0.2554,-0.971,0.2164,0.2164
31-9011,Massage Therapists,0.3465,-1.4102,0.3422,0.3422
45-2021,Animal Breeders,0.2694,-1.0443,0.2514,0.2514
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",0.2661,-1.0422,0.2145,0.1939
49-9071,"Maintenance and Repair Workers, General",0.2586,-1.0144,0.2083,0.2083
39-9031,Exercise Trainers and Group Fitness Instructors,0.4862,-2.1119,0.4542,0.4542
49-9081,Wind Turbine Service Technicians,0.2453,-0.971,0.2433,0.2433
53-7081,Refuse and Recyclable Material Collectors,0.3078,-1.2834,0.2974,0.2705
33-2011,Firefighters,0.3146,-1.3202,0.297,0.297
49-3051,Motorboat Mechanics and Service Technicians,0.2236,-0.8864,0.1867,0.1867
51-6051,"Sewers, Hand",0.1619,-0.5987,0.0874,0.0874
39-4011,Embalmers,0.1838,-0.7311,0.1469,0.1469
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.254,-1.0673,0.2228,0.1906
49-3092,Recreational Vehicle Service Technicians,0.2241,-0.9244,0.1967,0.1967
49-3023,Automotive Service Technicians and Mechanics,0.2296,-0.9547,0.1949,0.1885
45-4022,Logging Equipment Operators,0.2388,-1.0037,0.2317,0.1829
51-4194,"Tool Grinders, Filers, and Sharpeners",0.2114,-0.8809,0.117,0.0904
47-2132,"Insulation Workers, Mechanical",0.2917,-1.2686,0.2489,0.2489
53-6031,Automotive and Watercraft Service Attendants,0.2799,-1.2215,0.2489,0.2426
45-4011,Forest and Conservation Workers,0.2461,-1.0642,0.1868,0.1828
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.2302,-0.9902,0.2014,0.1921
35-2011,"Cooks, Fast Food",0.1696,-0.7132,0.1303,0.1303
51-9123,"Painting, Coating, and Decorating Workers",0.2209,-0.9706,0.1467,0.114
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",0.277,-1.2417,0.2642,0.2449
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.176,-0.7598,0.1319,0.1231
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",0.2049,-0.9,0.173,0.1423
51-9191,Adhesive Bonding Machine Operators and Tenders,0.2896,-1.3114,0.2466,0.2466
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,0.2681,-1.2106,0.2476,0.2331
49-9063,Musical Instrument Repairers and Tuners,0.1247,-0.5306,0.0415,0.0397
39-6011,Baggage Porters and Bellhops,0.2796,-1.272,0.2408,0.2408
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0.1851,-0.8299,0.1702,0.1535
53-7121,"Tank Car, Truck, and Ship Loaders",0.3003,-1.3878,0.2586,0.2305
49-3091,Bicycle Repairers,0.2004,-0.9226,0.1592,0.1592
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",0.245,-1.1419,0.1795,0.1667
51-4051,Metal-Refining Furnace Operators and Tenders,0.2467,-1.1675,0.1574,0.1535
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",0.2257,-1.0793,0.1626,0.1413
49-9092,Commercial Divers,0.2295,-1.1027,0.2107,0.202
47-2211,Sheet Metal Workers,0.2441,-1.175,0.2098,0.2098
53-7031,Dredge Operators,0.2072,-1.0166,0.2072,0.0723
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",0.2388,-1.1698,0.2079,0.1965
53-7073,Wellhead Pumpers,0.2208,-1.0912,0.2061,0.1603
49-3041,Farm Equipment Mechanics and Service Technicians,0.2422,-1.207,0.1808,0.1808
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",0.1686,-0.874,0.097,0.097
51-9022,"Grinding and Polishing Workers, Hand",0.222,-1.1465,0.2003,0.1967
49-3052,Motorcycle Mechanics,0.1408,-0.7637,0.0814,0.0814
47-4041,Hazardous Materials Removal Workers,0.1243,-0.6887,0.0847,0.0756
53-7041,Hoist and Winch Operators,0.1829,-0.9782,0.1476,0.1275
47-2152,"Plumbers, Pipefitters, and Steamfitters",0.2127,-1.1212,0.1782,0.1764
53-7063,Machine Feeders and Offbearers,0.1946,-1.0374,0.1707,0.1487
53-5011,Sailors and Marine Oilers,0.218,-1.15,0.1895,0.1735
51-2031,Engine and Other Machine Assemblers,0.1708,-0.9561,0.1454,0.14
47-5041,Continuous Mining Machine Operators,0.2137,-1.1655,0.1956,0.1697
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",0.1548,-0.8848,0.1071,0.0852
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",0.2093,-1.1461,0.1644,0.1447
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,0.1804,-1.0105,0.149,0.1402
51-6042,Shoe Machine Operators and Tenders,0.1842,-1.0299,0.1257,0.1257
51-9111,Packaging and Filling Machine Operators and Tenders,0.1685,-0.9786,0.1313,0.1313
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",0.1995,-1.1304,0.1601,0.1452
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",0.1427,-0.8685,0.0998,0.0966
51-6031,Sewing Machine Operators,0.1621,-0.964,0.1242,0.1242
51-6011,Laundry and Dry-Cleaning Workers,0.1749,-1.0544,0.09,0.0851
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",0.1711,-1.0366,0.133,0.0943
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",0.2436,-1.3929,0.2182,0.2044
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",0.2031,-1.2344,0.1635,0.1563
51-9031,"Cutters and Trimmers, Hand",0.1422,-0.948,0.1032,0.1003
49-9052,Telecommunications Line Installers and Repairers,0.1694,-1.0839,0.1265,0.117
51-9195,"Glass Blowers, Molders, Benders, and Finishers",0.19,-1.1834,0.1462,0.1408
47-2011,Boilermakers,0.1714,-1.0975,0.1374,0.1329
51-4121,"Welders, Cutters, Solderers, and Brazers",0.1923,-1.1976,0.1391,0.1365
47-2031,Carpenters,0.2168,-1.3236,0.1728,0.1728
51-7021,Furniture Finishers,0.1902,-1.1977,0.1523,0.1523
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",0.1815,-1.165,0.1358,0.1341
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",0.2722,-1.6013,0.2423,0.2302
51-6041,Shoe and Leather Workers and Repairers,0.1425,-0.9909,0.0791,0.0791
49-9094,Locksmiths and Safe Repairers,0.1163,-0.8657,0.0778,0.0778
49-9011,Mechanical Door Repairers,0.2216,-1.3832,0.1818,0.1818
45-2041,"Graders and Sorters, Agricultural Products",0.219,-1.371,0.1917,0.1917
47-4091,Segmental Pavers,0.1351,-0.9827,0.0577,0.0577
47-2044,Tile and Stone Setters,0.1851,-1.2254,0.1268,0.1268
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",0.1602,-1.1084,0.1489,0.1397
51-7011,Cabinetmakers and Bench Carpenters,0.2037,-1.3275,0.1769,0.1736
51-6093,Upholsterers,0.2001,-1.3137,0.1694,0.1694
51-2041,Structural Metal Fabricators and Fitters,0.1493,-1.0763,0.099,0.0907
49-9096,Riggers,0.1733,-1.2215,0.1397,0.1358
49-9051,Electrical Power-Line Installers and Repairers,0.1426,-1.0814,0.1054,0.0907
49-3021,Automotive Body and Related Repairers,0.1493,-1.1806,0.1001,0.1001
47-5011,"Derrick Operators, Oil and Gas",0.1958,-1.415,0.1579,0.1381
51-4052,"Pourers and Casters, Metal",0.1105,-1.0091,0.0211,0.0211
45-2091,Agricultural Equipment Operators,0.1367,-1.1452,0.1111,0.0744
49-9095,Manufactured Building and Mobile Home Installers,0.1869,-1.4141,0.1401,0.1401
53-7064,"Packers and Packagers, Hand",0.2039,-1.5136,0.1714,0.1714
35-2021,Food Preparation Workers,0.1437,-1.2264,0.1025,0.1025
37-2012,Maids and Housekeeping Cleaners,0.1931,-1.4807,0.1231,0.1231
51-9198,Helpers--Production Workers,0.1757,-1.4113,0.1457,0.1274
49-3043,Rail Car Repairers,0.1797,-1.4481,0.1471,0.1471
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",0.1553,-1.3466,0.1129,0.1129
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",0.1146,-1.1847,0.0762,0.0398
47-5081,Helpers--Extraction Workers,0.1876,-1.5432,0.1578,0.138
47-2151,Pipelayers,0.1199,-1.2256,0.0624,0.0552
47-2121,Glaziers,0.1533,-1.3889,0.1091,0.1073
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",0.1601,-1.4362,0.1133,0.1091
49-9044,Millwrights,0.1242,-1.2661,0.0665,0.0599
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",0.0883,-1.1056,0.026,0.026
49-3022,Automotive Glass Installers and Repairers,0.1077,-1.2023,0.0801,0.0801
47-2072,Pile Driver Operators,0.1104,-1.22,0.0805,0.0506
47-2041,Carpet Installers,0.1796,-1.5646,0.1245,0.1245
47-2141,"Painters, Construction and Maintenance",0.1813,-1.588,0.1372,0.1372
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",0.1177,-1.301,0.0695,0.0695
45-4021,Fallers,0.211,-1.7954,0.1732,0.1702
47-2021,Brickmasons and Blockmasons,0.1967,-1.7543,0.1489,0.1489
47-4051,Highway Maintenance Workers,0.0971,-1.2791,0.038,0.0158
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",0.1856,-1.7092,0.1652,0.1454
47-2061,Construction Laborers,0.1496,-1.623,0.0955,0.0767
49-9045,"Refractory Materials Repairers, Except Brickmasons",0.0656,-1.2375,0.0184,0.0184
53-7061,Cleaners of Vehicles and Equipment,0.1476,-1.6299,0.1157,0.0793
47-4061,Rail-Track Laying and Maintenance Equipment Operators,0.097,-1.3991,0.0757,0.0436
37-3013,Tree Trimmers and Pruners,0.164,-1.727,0.1306,0.1087
53-7051,Industrial Truck and Tractor Operators,0.0924,-1.3987,0.0539,0.0145
27-2021,Athletes and Sports Competitors,0.1719,-1.8143,0.1719,0.1719
47-2082,Tapers,0.1114,-1.5408,0.067,0.067
47-3013,Helpers--Electricians,0.1034,-1.5069,0.062,0.0571
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",0.1229,-1.6188,0.0682,0.0682
47-3012,Helpers--Carpenters,0.0824,-1.4253,0.0,0.0
49-3093,Tire Repairers and Changers,0.1079,-1.5507,0.0863,0.0807
47-2171,Reinforcing Iron and Rebar Workers,0.1924,-1.971,0.1503,0.1503
47-2081,Drywall and Ceiling Tile Installers,0.1215,-1.648,0.0704,0.0704
47-2221,Structural Iron and Steel Workers,0.1299,-1.7801,0.0932,0.0832
47-2142,Paperhangers,0.1171,-1.7275,0.0691,0.0691
37-3011,Landscaping and Groundskeeping Workers,0.1341,-1.8243,0.0924,0.0746
47-5071,"Roustabouts, Oil and Gas",0.0671,-1.519,0.03,0.0258
47-5051,"Rock Splitters, Quarry",0.1146,-1.7635,0.086,0.0366
47-4031,Fence Erectors,0.1423,-1.9021,0.0752,0.0737
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,0.1456,-1.9271,0.0938,0.0938
47-2161,Plasterers and Stucco Masons,0.1086,-1.7556,0.0588,0.0588
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",0.0925,-1.6789,0.0075,0.0075
51-9197,Tire Builders,0.0741,-1.6109,0.0301,0.0301
47-2051,Cement Masons and Concrete Finishers,0.1059,-1.7774,0.0584,0.0584
51-6021,"Pressers, Textile, Garment, and Related Materials",0.1334,-1.9501,0.0933,0.0336
47-2053,Terrazzo Workers and Finishers,0.0946,-1.7761,0.0388,0.0388
47-2043,Floor Sanders and Finishers,0.0872,-1.7487,0.0446,0.0446
47-2181,Roofers,0.0827,-1.7529,0.0371,0.0371
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",0.1058,-1.9423,0.062,0.059
51-4071,Foundry Mold and Coremakers,0.0611,-1.7403,0.019,0.0
47-2022,Stonemasons,0.0512,-1.7148,0.0024,0.0
47-3016,Helpers--Roofers,0.0841,-1.8982,0.0417,0.0417
35-9021,Dishwashers,0.05,-1.7386,0.0,0.0
27-2031,Dancers,0.2306,-2.6698,0.2273,0.2273
51-3023,Slaughterers and Meat Packers,0.05,-1.8347,0.0,0.0
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",0.0523,-2.0448,0.0,0.0
