soc6,title,original,AIOE,narrow,broad
27-3031,Public Relations Specialists,0.6882,1.2849,0.6882,0.6882
25-1067,"Sociology Teachers, Postsecondary",0.6744,1.3492,0.6744,0.6744
25-1061,"Anthropology and Archeology Teachers, Postsecondary",0.6794,1.3217,0.6794,0.6794
25-1053,"Environmental Science Teachers, Postsecondary",0.6734,1.3475,0.6734,0.6734
25-9031,Instructional Coordinators,0.681,1.3019,0.681,0.681
25-1064,"Geography Teachers, Postsecondary",0.6773,1.3189,0.6773,0.6773
11-2011,Advertising and Promotions Managers,0.6819,1.2944,0.6819,0.6819
43-5011,Freight Forwarders,0.6549,1.4054,0.6471,0.6445
43-4051,Customer Service Representatives,0.7483,0.9563,0.7483,0.7483
41-1012,First-Line Supervisors of Non-Retail Sales Workers,0.673,1.3162,0.673,0.673
11-1011,Chief Sustainability Officers,0.669,1.3342,0.669,0.669
25-1031,"Architecture Teachers, Postsecondary",0.6908,1.222,0.6908,0.6908
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",0.6726,1.3062,0.6726,0.6726
25-1066,"Psychology Teachers, Postsecondary",0.6668,1.3337,0.6668,0.6668
17-3011,Architectural and Civil Drafters,0.7521,0.9234,0.7521,0.7521
17-2031,Bioengineers and Biomedical Engineers,0.7386,0.9874,0.7386,0.7386
19-3051,Urban and Regional Planners,0.6879,1.2275,0.6879,0.6879
17-2161,Nuclear Engineers,0.6711,1.303,0.6711,0.6711
25-1113,"Social Work Teachers, Postsecondary",0.6614,1.3473,0.6614,0.6614
13-1131,Fundraisers,0.6816,1.2426,0.6816,0.6816
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",0.6762,1.2603,0.6762,0.6762
13-1031,"Claims Adjusters, Examiners, and Investigators",0.6731,1.274,0.6731,0.6731
19-3092,Geographers,0.6388,1.4363,0.5745,0.5745
19-1011,Animal Scientists,0.7204,1.0414,0.7204,0.7204
19-3032,Industrial-Organizational Psychologists,0.6446,1.4025,0.6446,0.6446
25-1081,"Education Teachers, Postsecondary",0.6877,1.193,0.6877,0.6877
41-9021,Real Estate Brokers,0.6963,1.1497,0.6963,0.6963
17-2112,Industrial Engineers,0.6983,1.1379,0.6928,0.6928
25-1192,"Family and Consumer Sciences Teachers, Postsecondary",0.6828,1.2117,0.6828,0.6828
23-1022,"Arbitrators, Mediators, and Conciliators",0.6356,1.4316,0.6356,0.6356
19-2011,Astronomers,0.6472,1.3737,0.6472,0.6472
17-3012,Electrical and Electronics Drafters,0.7439,0.9102,0.7439,0.7439
19-3093,Historians,0.7013,1.0989,0.696,0.696
43-3011,Bill and Account Collectors,0.6643,1.272,0.6643,0.6643
17-2051,Water/Wastewater Engineers,0.6618,1.2829,0.6618,0.6618
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",0.6474,1.347,0.6474,0.6474
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",0.6709,1.2345,0.6709,0.6503
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",0.6847,1.1649,0.6847,0.6847
13-1151,Training and Development Specialists,0.6762,1.1984,0.6762,0.6762
11-9033,"Education Administrators, Postsecondary",0.6186,1.4611,0.6186,0.6186
19-2041,Climate Change Policy Analysts,0.7118,1.0141,0.7058,0.7058
43-6013,Medical Secretaries and Administrative Assistants,0.669,1.218,0.669,0.6223
17-2081,Environmental Engineers,0.6426,1.3436,0.6392,0.6392
11-3131,Training and Development Managers,0.6545,1.2844,0.6545,0.6545
43-4141,New Accounts Clerks,0.6772,1.175,0.6772,0.6706
43-6011,Executive Secretaries and Executive Administrative Assistants,0.6961,1.0796,0.6961,0.6961
43-3071,Tellers,0.8204,0.4728,0.8204,0.8204
25-1052,"Chemistry Teachers, Postsecondary",0.6396,1.3339,0.6383,0.6383
19-2099,Remote Sensing Scientists and Technologists,0.6791,1.1402,0.6694,0.6694
43-6012,Legal Secretaries and Administrative Assistants,0.7038,1.0145,0.7038,0.6643
19-1042,"Medical Scientists, Except Epidemiologists",0.648,1.2799,0.648,0.6352
23-1023,"Judges, Magistrate Judges, and Magistrates",0.6022,1.4965,0.6022,0.6022
11-3021,Computer and Information Systems Managers,0.6928,1.0599,0.6928,0.6928
19-2042,"Geoscientists, Except Hydrologists and Geographers",0.7627,0.7143,0.7627,0.7627
19-1029,Bioinformatics Scientists,0.6996,1.0102,0.6948,0.6924
25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",0.6279,1.349,0.6261,0.6261
25-1042,"Biological Science Teachers, Postsecondary",0.6527,1.2277,0.6498,0.6498
11-9111,Medical and Health Services Managers,0.6427,1.2603,0.6427,0.6427
43-4111,"Interviewers, Except Eligibility and Loan",0.6347,1.297,0.6347,0.6347
11-3121,Human Resources Managers,0.6281,1.3204,0.6281,0.6281
17-3013,Mechanical Drafters,0.7276,0.841,0.7276,0.7276
25-1021,"Computer Science Teachers, Postsecondary",0.6341,1.2778,0.6341,0.6341
23-1011,Lawyers,0.6211,1.3288,0.6211,0.6211
17-2141,Automotive Engineers,0.6868,1.0047,0.6814,0.6794
11-9161,Emergency Management Directors,0.6803,1.0308,0.6803,0.6803
17-2061,Computer Hardware Engineers,0.656,1.1418,0.6538,0.6538
17-2171,Petroleum Engineers,0.6333,1.2478,0.6306,0.6306
29-1031,Dietitians and Nutritionists,0.6133,1.3428,0.6133,0.6133
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",0.6619,1.0991,0.6619,0.6073
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.7034,0.8912,0.6988,0.6988
27-4032,Film and Video Editors,0.6782,0.9857,0.6782,0.6265
19-3039,Neuropsychologists,0.5921,1.3899,0.5921,0.5921
17-1011,"Architects, Except Landscape and Naval",0.6615,1.0471,0.6615,0.6615
43-9031,Desktop Publishers,0.8041,0.3438,0.7966,0.7966
21-2021,"Directors, Religious Activities and Education",0.6224,1.2109,0.6224,0.6224
43-1011,First-Line Supervisors of Office and Administrative Support Workers,0.6578,1.0387,0.6578,0.6578
13-1022,"Wholesale and Retail Buyers, Except Farm Products",0.7031,0.8188,0.7031,0.7031
25-9021,Farm and Home Management Educators,0.6943,0.8604,0.6943,0.6943
13-1075,Labor Relations Specialists,0.5941,1.3348,0.5941,0.5941
19-2032,Materials Scientists,0.657,1.0328,0.657,0.657
11-9151,Social and Community Service Managers,0.6306,1.1562,0.6306,0.6306
11-9141,"Property, Real Estate, and Community Association Managers",0.6175,1.2154,0.6175,0.6175
25-1071,"Health Specialties Teachers, Postsecondary",0.6782,0.9248,0.6782,0.6782
17-2071,Electrical Engineers,0.6351,1.1267,0.6351,0.6351
25-1054,"Physics Teachers, Postsecondary",0.6519,1.0442,0.6519,0.6519
11-9199,Compliance Managers,0.6679,0.9647,0.6658,0.6658
43-9022,Word Processors and Typists,0.7382,0.622,0.7349,0.6972
27-1024,Graphic Designers,0.7185,0.7157,0.7185,0.6745
17-1021,Cartographers and Photogrammetrists,0.6952,0.817,0.6952,0.6952
19-1013,Soil and Plant Scientists,0.7338,0.6321,0.7338,0.7338
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0.657,0.9949,0.6521,0.6521
41-9022,Real Estate Sales Agents,0.6832,0.8649,0.6832,0.6832
17-3022,Civil Engineering Technologists and Technicians,0.6673,0.9323,0.6673,0.6673
17-2199,Robotics Engineers,0.6967,0.7876,0.6935,0.6907
11-2022,Sales Managers,0.5958,1.2663,0.5958,0.5958
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.6882,0.8225,0.6768,0.6768
27-1025,Interior Designers,0.6226,1.1217,0.6226,0.6226
11-9021,Construction Managers,0.6419,1.0291,0.6419,0.6419
43-4151,Order Clerks,0.6802,0.8389,0.6802,0.6802
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",0.5855,1.2864,0.5825,0.5825
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",0.6051,1.1913,0.6032,0.6032
27-1011,Art Directors,0.6378,1.0225,0.6378,0.6378
11-9032,"Education Administrators, Kindergarten through Secondary",0.6297,1.0488,0.6297,0.6297
43-5061,"Production, Planning, and Expediting Clerks",0.7008,0.6999,0.7008,0.7008
13-1021,"Buyers and Purchasing Agents, Farm Products",0.6855,0.7687,0.6855,0.6855
13-1032,"Insurance Appraisers, Auto Damage",0.7044,0.6635,0.7044,0.7044
17-1012,Landscape Architects,0.6239,1.0344,0.6239,0.6239
11-9041,Biofuels/Biodiesel Technology and Product Development Managers,0.6644,0.837,0.6644,0.6644
11-9071,Gambling Managers,0.6647,0.8299,0.6492,0.6492
43-4171,Receptionists and Information Clerks,0.6245,1.0132,0.6218,0.6218
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",0.6022,1.1071,0.5927,0.5927
25-1041,"Agricultural Sciences Teachers, Postsecondary",0.6707,0.7547,0.6707,0.6707
43-9061,"Office Clerks, General",0.6207,0.9889,0.6207,0.588
19-1021,Biochemists and Biophysicists,0.637,0.9061,0.6302,0.6302
21-2011,Clergy,0.5582,1.2826,0.5582,0.5582
11-3071,Supply Chain Managers,0.6398,0.8908,0.6398,0.6398
19-1012,Food Scientists and Technologists,0.659,0.7944,0.659,0.659
17-2021,Agricultural Engineers,0.6264,0.941,0.6264,0.6264
17-2131,Materials Engineers,0.6036,1.0373,0.6014,0.6014
29-1127,Speech-Language Pathologists,0.5807,1.1463,0.5807,0.5697
