O*NET-SOC Code,Title,original,text,text_weight_share,text_delta,combined,combined_weight_share,combined_delta,soc6
15-1231.00,Computer Network Support Specialists,0.77,0.6359,0.1815576782454616,-0.1341,0.6359,0.1815576782454616,-0.1341,15-1231
43-4021.00,Correspondence Clerks,0.7678,0.7271,0.04526730817625722,-0.04070000000000007,0.7247,0.09285037784404908,-0.04310000000000003,43-4021
13-2071.00,Credit Counselors,0.7677,0.7677,0.0,0.0,0.7677,0.0,0.0,13-2071
13-1041.07,Regulatory Affairs Specialists,0.7653,0.7653,0.0,0.0,0.7653,0.0,0.0,13-1041
15-1211.01,Health Informatics Specialists,0.7643,0.6871,0.09451641127371847,-0.07719999999999994,0.6871,0.09451641127371847,-0.07719999999999994,15-1211
41-3011.00,Advertising Sales Agents,0.7633,0.7633,0.0,0.0,0.7457,0.039206782656905276,-0.01759999999999995,41-3011
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",0.7627,0.7566,0.015393910011537771,-0.006099999999999994,0.7566,0.015393910011537771,-0.006099999999999994,19-2042
19-1029.01,Bioinformatics Scientists,0.7622,0.7239,0.045168765689092324,-0.0383,0.7239,0.045168765689092324,-0.0383,19-1029
13-2072.00,Loan Officers,0.7614,0.7614,0.0,0.0,0.7614,0.0,0.0,13-2072
13-1051.00,Cost Estimators,0.7607,0.7607,0.0,0.0,0.7607,0.0,0.0,13-1051
27-3041.00,Editors,0.7604,0.7604,0.0,0.0,0.7604,0.0,0.0,27-3041
41-3041.00,Travel Agents,0.7588,0.7588,0.0,0.0,0.7588,0.0,0.0,41-3041
13-1199.05,Sustainability Specialists,0.7584,0.7584,0.0,0.0,0.7584,0.0,0.0,13-1199
15-1251.00,Computer Programmers,0.7575,0.6844,0.08597679854117245,-0.07309999999999994,0.6844,0.08597679854117245,-0.07309999999999994,15-1251
15-1211.00,Computer Systems Analysts,0.7556,0.7556,0.0,0.0,0.7556,0.0,0.0,15-1211
15-2051.02,Clinical Data Managers,0.7556,0.7556,0.0,0.0,0.7556,0.0,0.0,15-2051
43-4041.00,"Credit Authorizers, Checkers, and Clerks",0.7552,0.7552,0.0,0.0,0.7552,0.0,0.0,43-4041
41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",0.755,0.755,0.0,0.0,0.755,0.0,0.0,41-3091
15-1212.00,Information Security Analysts,0.7538,0.7538,0.0,0.0,0.7538,0.0,0.0,15-1212
