O*NET-SOC Code,Title,exposure,n_tasks,share_high,share_low,wshare_ANLY,wshare_CARE,wshare_CRTV,wshare_INFO,wshare_MACH,wshare_MGMT,wshare_PHYS,wshare_SOCL,wshare_TECH,exposure_pctile
15-1212.00,Information Security Analysts,0.7538,11,0.729,0.0,0.0,0.0,0.0,0.1862,0.0,0.1793,0.0,0.0917,0.5427,0.93
13-1111.00,Management Analysts,0.7532,11,0.7032,0.0,0.2049,0.0,0.0,0.3662,0.0,0.0,0.0,0.3492,0.0797,0.928
19-4061.00,Social Science Research Assistants,0.753,22,0.5969,0.0,0.0696,0.0,0.0876,0.3844,0.0,0.1138,0.0,0.199,0.1456,0.927
15-2031.00,Operations Research Analysts,0.7524,17,0.7573,0.0,0.4282,0.0,0.0,0.176,0.0,0.175,0.0,0.1171,0.1037,0.926
17-3011.00,Architectural and Civil Drafters,0.7521,28,0.9235,0.0,0.3556,0.0,0.4281,0.0686,0.0,0.086,0.0,0.0617,0.0,0.925
19-2041.01,Climate Change Policy Analysts,0.7512,14,0.7071,0.0,0.2354,0.0,0.1429,0.2558,0.0,0.0,0.0,0.3659,0.0,0.924
13-2051.00,Financial and Investment Analysts,0.751,26,0.8077,0.0385,0.4615,0.0,0.0769,0.1154,0.0,0.0769,0.0,0.2692,0.0,0.923
43-4031.00,"Court, Municipal, and License Clerks",0.751,30,0.6929,0.0,0.143,0.0,0.0,0.4527,0.0,0.1349,0.0445,0.1914,0.0335,0.922
43-4011.00,Brokerage Clerks,0.7504,10,0.5263,0.0,0.1774,0.0,0.0,0.4272,0.0,0.0,0.1459,0.2494,0.0,0.921
15-1299.07,Blockchain Engineers,0.75,17,0.7059,0.0588,0.1765,0.0,0.0,0.0,0.0,0.0,0.0588,0.1176,0.6471,0.92
43-4051.00,Customer Service Representatives,0.7483,13,0.678,0.0,0.1642,0.0,0.0,0.2574,0.0,0.0,0.0,0.5783,0.0,0.919
23-1012.00,Judicial Law Clerks,0.7459,18,0.6014,0.0,0.1481,0.0,0.0,0.4395,0.0,0.112,0.0,0.2675,0.0329,0.918
17-2199.08,Robotics Engineers,0.7448,24,0.7715,0.0429,0.1513,0.0,0.278,0.2663,0.0,0.0456,0.0429,0.0462,0.1696,0.917
51-9162.00,Computer Numerically Controlled Tool Programmers,0.7446,16,0.6946,0.0736,0.1985,0.0,0.0588,0.1381,0.0,0.051,0.1582,0.0,0.3954,0.915
17-3012.00,Electrical and Electronics Drafters,0.7439,30,0.796,0.0,0.1304,0.0,0.3102,0.2129,0.0,0.1264,0.0,0.1209,0.0992,0.914
43-4061.00,"Eligibility Interviewers, Government Programs",0.7432,17,0.684,0.0,0.0964,0.0,0.0,0.4247,0.0,0.0434,0.0,0.4356,0.0,0.913
17-2112.00,Industrial Engineers,0.7406,20,0.7331,0.0,0.2736,0.0,0.0924,0.2583,0.0,0.1416,0.0,0.1834,0.0507,0.912
13-2053.00,Insurance Underwriters,0.7404,7,0.586,0.0,0.4334,0.0,0.0,0.0,0.0,0.414,0.0,0.1526,0.0,0.911
15-1255.01,Video Game Designers,0.7389,24,0.5852,0.0,0.0392,0.0,0.111,0.1307,0.0,0.0849,0.0,0.3299,0.3043,0.91
17-2031.00,Bioengineers and Biomedical Engineers,0.7386,30,0.643,0.0,0.1015,0.0,0.1089,0.3309,0.0,0.0975,0.0,0.194,0.1674,0.909
43-9022.00,Word Processors and Typists,0.7382,19,0.7561,0.111,0.1128,0.0,0.0,0.4348,0.1113,0.0,0.1326,0.0,0.2085,0.908
17-2112.01,Human Factors Engineers and Ergonomists,0.7375,26,0.7054,0.044,0.12,0.0,0.0692,0.442,0.0,0.0,0.0791,0.2057,0.0838,0.907
43-3021.00,Billing and Posting Clerks,0.734,28,0.6931,0.0679,0.3004,0.0,0.0,0.3626,0.1144,0.0,0.1076,0.115,0.0,0.906
19-1013.00,Soil and Plant Scientists,0.7338,27,0.7913,0.0,0.1149,0.0,0.1345,0.3991,0.0,0.038,0.0,0.1564,0.1571,0.905
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",0.7333,21,0.6373,0.0279,0.2264,0.0,0.0389,0.2414,0.0,0.0572,0.0,0.4361,0.0,0.904
19-3011.01,Environmental Economists,0.7325,20,0.6181,0.0,0.3873,0.0,0.1931,0.2627,0.0,0.0,0.0,0.1568,0.0,0.902
